satnum,satname,vmag,delta,flux,JD0,JD1,camid,type,version,annulus,launch,sun_alt,sun_az,inc,alt,az,range,ra,dec,height,phase_angle,vmag_norm_550,vmag_norm_1000
51808U,STARLINK-3609,4.832782867166877,0.11395876104107362,84961.0246997735,2459876.853754357,2459876.853828223,LSC,standard,1.5,11129,2022-02-25,-18.65909753782217,115.86950044932179,53.2151,68.17748439452063,294.1435384698025,584.7003415509497,4.5401941145083375,-18.775138241900923,548.5812730604958,130.47070409031315,4.699929576992215,5.998116129520996
51808U,STARLINK-3609,4.842048847644785,0.1116511172788398,84172.33220612505,2459876.853828223,2459876.853902088,LSC,standard,1.5,11171,2022-02-25,-18.638204480194975,115.85310985092954,53.2151,68.85688213994555,306.4916604169492,582.0906447513029,4.7727235828798085,-15.627179726712546,548.4610752626379,129.34605036512662,4.718909197897366,6.017095750426146
48398U,STARLINK-2588,5.827641167110965,0.06464643993259533,30127.369955795242,2459876.850725636,2459876.850799514,LSC,visorsat,1.0,10625,2021-05-04,-19.513250353137618,116.54690753217947,53.0542,82.20087074707381,95.78196148657669,559.3366152761054,6.465031979878736,-29.731125349950545,556.9471856571594,102.20340446333064,5.791088364428762,7.089274916957542
48398U,STARLINK-2588,5.883284959544721,0.07775464445906831,28424.42510670361,2459876.850799514,2459876.850873391,LSC,visorsat,1.0,10163,2021-05-04,-19.492474827889588,116.530258118333,53.0542,78.79540214126281,75.5924936849421,564.3533969905802,6.674977377020764,-25.907098540835406,556.8326794383515,100.89444120645848,5.827342689413309,7.12552924194209
47773U,STARLINK-2196,5.958327350479806,0.06516471530304789,26729.019219283044,2459876.5187457,2459876.518819577,LSC,visorsat,1.0,10079,2021-03-04,-19.12729259330558,243.91440635798597,53.0561,73.32852459631586,148.01954666636354,576.396291600427,22.669648728336327,-42.99917891405553,556.5140485979975,109.9794793855593,5.856534907944356,7.154721460473136
47773U,STARLINK-2196,4.712511458700547,0.045330410635415465,86165.77176201528,2459876.518967096,2459876.519040966,LSC,visorsat,1.0,20747,2021-03-04,-19.189690352152947,243.86475266816336,53.0561,71.4969216727533,101.46381346304217,581.3801229279362,23.300897403329973,-31.354408145816407,556.1496634366437,123.30833960525493,4.592024009198228,5.890210561727009
47773U,STARLINK-2196,4.747858730810464,0.04499645050286166,82510.79556983893,2459876.519040966,2459876.519114843,LSC,visorsat,1.0,20789,2021-03-04,-19.210503683209563,243.8481730268015,53.0561,68.9445545152199,90.56020802379194,589.802003160966,23.47127796573009,-27.457245384569458,556.0282541530746,127.59701356160464,4.596140962158055,5.894327514686836
47773U,STARLINK-2196,5.612379385788294,0.05221725339126663,39070.29882037523,2459876.519114843,2459876.519188721,LSC,visorsat,1.0,11003,2021-03-04,-19.231316149050762,243.83158544683084,53.0561,65.94956913085349,82.36982112148814,601.4179050192564,23.62558635283176,-23.646193537545365,555.9069465184479,131.7283347648667,5.4183110658228815,6.716497618351663
47773U,STARLINK-2196,4.944871080335215,0.03996911088877431,71173.6724130306,2459876.519188721,2459876.519262598,LSC,visorsat,1.0,20999,2021-03-04,-19.252125909721734,243.8149913850778,53.0561,62.750733193314495,76.22266099916777,616.0464802262537,23.76584219240618,-19.963200105897474,555.7857687403921,135.66604655080005,4.698617124904376,5.996803677433157
47773U,STARLINK-2196,5.947390070087108,0.07541479921949841,30915.288791743973,2459876.519262598,2459876.519336475,LSC,visorsat,1.0,9995,2021-03-04,-19.272932306555283,243.79839135869796,53.0561,59.50300742946582,71.53681739165748,633.4781878840323,23.893816238825973,-16.439272151680377,555.6647420724304,139.38329243994542,5.64054518898027,6.93873174150905
47773U,STARLINK-2196,6.118828477161783,0.10146899700693861,23406.317103963167,2459876.519336475,2459876.519410353,LSC,visorsat,1.0,9743,2021-03-04,-19.293735861322194,243.78178494339937,53.0561,56.30261614129476,67.89005913348812,653.4885912025302,0.011048424524654548,-13.094924264706357,555.5438808451074,142.86227405446334,5.7444518749280515,7.042638427456833
48385U,STARLINK-2598,6.049733318941733,0.0776861212192637,25089.53275673938,2459876.528275058,2459876.528348929,LSC,visorsat,1.0,11045,2021-05-04,-21.78797134718395,241.72434576530767,53.0532,72.22863676333698,263.9879140977919,579.339608990656,20.73872291539035,-29.63893416672454,556.3174161791311,95.22621569077637,5.936880656991896,7.235067209520676
48366U,STARLINK-2631,5.674659487932892,0.07817710873315888,33176.79795773094,2459876.524359843,2459876.52443372,LSC,visorsat,1.0,9533,2021-05-04,-20.701164641478428,242.6375452638696,53.0538,76.64980084647901,303.3095725980981,567.5403514671401,21.20999935063473,-21.493595847330532,555.8124085755294,103.77293086849686,5.606489211395333,6.904675763924114
48366U,STARLINK-2631,5.599017913681793,0.07426111779502287,36329.80181139283,2459876.52443372,2459876.524507592,LSC,visorsat,1.0,10415,2021-05-04,-20.721755825748655,242.62049098638877,53.0538,81.04447989823592,295.0697849805411,559.837586856531,21.411441984491166,-25.261781525149622,555.9300185156466,105.11236045380272,5.560521095429128,6.8587076479579085
48366U,STARLINK-2631,5.351636896380947,0.033310263259443106,51510.09911613911,2459876.524507592,2459876.52458147,LSC,visorsat,1.0,15413,2021-05-04,-20.742342531032715,242.60343108084172,53.0538,85.00473979886388,272.2534068977275,555.619996022238,21.630102389785936,-29.04076467529672,556.0477495370839,106.37898675176615,5.329561008723608,6.627747561252388
48366U,STARLINK-2631,5.9174082449849355,0.0584098887740458,27977.077925808735,2459876.524655353,2459876.524729224,LSC,visorsat,1.0,10667,2021-05-04,-20.783511056310623,242.56928726161652,53.0538,82.86194201758957,169.26729911341667,557.8901785478804,22.123454328468217,-36.37025149107042,556.283554572357,108.58140031732304,5.886478113043715,7.184664665572496
44926U,STARLINK-1113,5.00047171639965,0.051684018636846796,66227.06027536192,2459876.523916573,2459876.523990451,LSC,standard,1.0,20159,2020-01-07,-20.57754804074682,242.7397328522863,53.0002,53.22499604746667,241.98537219652775,680.3688414779738,19.107483049571947,-39.58758361133461,559.3104197496709,73.79866156797632,4.538563082760468,5.836749635289248
44926U,STARLINK-1113,5.800163444174668,0.07376882294086776,35665.935355326284,2459876.523990451,2459876.524064334,LSC,standard,1.0,10667,2020-01-07,-20.598158638925625,242.72271834784905,53.0002,53.94064732242633,235.5159103053212,674.9886214806364,19.205710785314846,-43.33963888570134,559.4296485602771,74.7908946560052,5.355494632452414,6.653681184981195
44928U,STARLINK-1119,5.032988474131322,0.04194844193139513,66590.89404426534,2459876.519558096,2459876.519631961,LSC,standard,1.0,20369,2020-01-07,-19.356125643040514,243.73193034355273,53.056000000000004,57.882436483252626,261.2138027661266,644.5524050929323,19.428293834828654,-29.04273635608681,556.7452237341236,78.58948957917796,4.688510755223367,5.986697307752148
44928U,STARLINK-1119,5.638464233647955,0.07820671625976272,37374.12632921744,2459876.519631961,2459876.519705839,LSC,standard,1.0,9701,2020-01-07,-19.37691386940508,243.71530145927784,53.056000000000004,59.752125628502874,254.27250168124138,633.3870649593067,19.543088263216358,-32.821352328975664,556.8639564928496,79.59154424958356,5.3319317313309105,6.630118283859691
44928U,STARLINK-1119,5.642746746297359,0.05103661585741487,41238.12357366133,2459876.519705839,2459876.519779716,LSC,standard,1.0,10625,2020-01-07,-19.397702777822126,243.69866332637054,53.056000000000004,61.24251337109721,246.359035604087,625.1971245112187,19.670957962118205,-36.69040140754986,556.9827557174665,80.66238195788497,5.364475334331155,6.662661886859936
44928U,STARLINK-1119,5.646339471765515,0.09870332585942929,40274.10194002342,2459876.519779716,2459876.519853593,LSC,standard,1.0,10457,2020-01-07,-19.41848843363198,243.68201908353885,53.056000000000004,62.235473397137525,237.61378569853215,620.1029393203953,19.814334214877363,-40.608752297898725,557.1015814811033,81.79051022419355,5.385833969584686,6.684020522113467
44928U,STARLINK-1119,5.021998597821161,0.06746456442287624,64931.27180746875,2459876.519853593,2459876.51992747,LSC,standard,1.0,15623,2020-01-07,-19.439270965045008,243.66536862015064,53.056000000000004,62.638490730673354,228.35206546818236,618.1808736591078,19.976232239711255,-44.529573981682944,557.2204170244787,82.96127245732968,4.768234225357074,6.066420777885854
44928U,STARLINK-1119,4.7955991862688645,0.04937424599821776,81161.3667423009,2459876.51992747,2459876.520001348,LSC,standard,1.0,20159,2020-01-07,-19.46005063115888,243.64871172040046,53.056000000000004,62.41072105546553,219.02602343056813,619.4602369486936,20.160358875836906,-48.401282106826486,557.3392463084452,84.1575367098735,4.537345462165122,5.835532014693904
47775U,STARLINK-2198,5.950214865039239,0.11443380647211784,28178.57256089828,2459876.526058987,2459876.52613287,LSC,visorsat,1.0,10751,2021-03-04,-21.173945822235034,242.24359477686232,53.05660000000001,63.41220970781395,232.215526556691,613.8779913105009,20.130825246400825,-42.61936503149656,556.7796574043293,84.94741518057313,5.711617995615016,7.009804548143796
47775U,STARLINK-2198,5.978130269347126,0.12198958232101824,27150.770497491754,2459876.52613287,2459876.526206747,LSC,visorsat,1.0,10331,2021-03-04,-21.194464861965535,242.2263832464031,53.05660000000001,67.37847834110659,234.53394180361974,596.373906363572,20.431564383015345,-40.301879182233435,556.6597453364932,88.7526038880276,5.8023505510475815,7.100537103576363
47775U,STARLINK-2198,6.174562220784255,0.07537924530334979,24884.07100374786,2459876.526502025,2459876.526575902,LSC,visorsat,1.0,10289,2021-03-04,-21.29693870699385,242.1402837668101,53.05660000000001,84.22550905661309,320.61469844012134,556.2886195146419,21.79036338376655,-24.838224553675214,556.0615508087895,110.03354469436346,6.149874791817093,7.4480613443458745
47775U,STARLINK-2198,6.134808324575324,0.07173676172709055,26071.469321835146,2459876.526575902,2459876.526649774,LSC,visorsat,1.0,10373,2021-03-04,-21.31743651037617,242.12303250434678,53.05660000000001,81.89491977360184,356.16340522261163,558.704337021121,22.022721591589498,-21.27727327890144,555.9421476946814,114.41605703035363,6.100711558819821,7.398898111348602
51768U,STARLINK-3622,5.98464337150574,0.12818296421044953,25071.374260934794,2459876.849617494,2459876.849691371,LSC,standard,1.5,10499,2022-02-25,-19.824512093729673,116.79740989032675,53.2171,62.841333677414525,241.5682107262059,608.2310448304427,3.7811287665057347,-38.71191058061196,549.1077448489626,123.13686656940837,5.766113902592894,7.064300455121675
51768U,STARLINK-3622,5.220522866922895,0.060181948399391776,53760.28077011599,2459876.849691371,2459876.849765249,LSC,standard,1.5,19235,2022-02-25,-19.80378229432689,116.7806645073913,53.2171,66.59021910930791,245.70992150107384,591.3046584270613,4.065884202902401,-36.296508819196774,548.9868367178537,123.07975998769099,5.063279811997963,6.361466364526743
51768U,STARLINK-3622,5.05074542592371,0.04317474647077498,64669.93250233498,2459876.849765249,2459876.849839126,LSC,standard,1.5,20537,2022-02-25,-19.783049182054725,116.76392536704978,53.2171,70.36653516899318,251.648747842983,577.3466809675767,4.345947579438292,-33.60035930596077,548.8659926441238,122.81377861512696,4.945375505899911,6.243562058428692
51768U,STARLINK-3622,5.363513249620558,0.06171830990777005,51391.69245137274,2459876.849839126,2459876.849913003,LSC,standard,1.5,12305,2022-02-25,-19.76231328259274,116.74719288539332,53.2171,73.99472450121313,260.6068398778377,566.577749745811,4.618932950297342,-30.646232369123048,548.7452333490552,122.31557645245383,5.29902912107575,6.597215673604531
51768U,STARLINK-3622,4.7965143806652755,0.050598740614167546,82519.13455752771,2459876.849913003,2459876.849986874,LSC,standard,1.5,17639,2022-02-25,-19.741574468262694,116.73046695082078,53.2171,77.13060547274915,274.6505293290097,559.1826659395663,4.882847637058969,-27.469981890380215,548.6245757030241,121.57245239748535,4.7605593267112045,6.058745879239986
51768U,STARLINK-3622,4.718983470873416,0.040593127233449496,89001.14523146024,2459876.849986874,2459876.850060752,LSC,standard,1.5,21125,2022-02-25,-19.72083418030657,116.71374871628932,53.2171,79.13557917508997,295.89079486701655,555.2968507011547,5.136126796935035,-24.11941373461842,548.5040456473168,120.58559512351702,4.698170866189698,5.996357418718478
51768U,STARLINK-3622,4.792985041755591,0.039684913815646754,80085.47708214312,2459876.850060752,2459876.850134635,LSC,standard,1.5,21167,2022-02-25,-19.70008889158564,116.69703533061308,53.2171,79.2409988102241,321.71409530290197,554.9938286219171,5.377726573709666,-20.650140073949714,548.3836402141582,119.370972097058,4.773357719652605,6.071544272181386
51768U,STARLINK-3622,5.063534200921383,0.03845322606814034,63366.51484468789,2459876.850134635,2459876.850208506,LSC,standard,1.5,20243,2022-02-25,-19.67933925810297,116.68032731609216,53.2171,77.39184746944123,343.6838163570457,558.2804940917379,5.606985544395255,-17.122745965095987,548.2633807265512,117.95849307063583,5.031085377457773,6.329271929986554
51768U,STARLINK-3622,5.714136140167959,0.06043318734015748,35038.121322544794,2459876.850208506,2459876.850282384,LSC,standard,1.5,11507,2022-02-25,-19.658589860482525,116.66362835158868,53.2171,74.3278901629353,358.3865601442403,565.0930419662124,5.823586746944007,-13.597973843505908,548.1433111309752,116.38867229300644,5.655349788490714,6.953536341019494
51770U,STARLINK-3612,4.990577334284099,0.04201578700595129,65389.938973870994,2459876.84585004,2459876.845923917,LSC,standard,1.5,20411,2022-02-25,-20.87753730975579,117.66005715155842,53.2169,67.30980326092066,219.33010761775077,588.9062358441374,4.397463397186188,-45.387033748843486,549.4299207655974,113.68465687598494,4.842160016623604,6.140346569152384
51770U,STARLINK-3612,4.919508502003378,0.04075372478331496,69846.52433393638,2459876.845923917,2459876.845997795,LSC,standard,1.5,20537,2022-02-25,-20.85696722346203,117.64297480169094,53.2169,71.64672086431196,218.9288184449502,573.7737298426058,4.715190416583088,-42.69732134254148,549.3181857854117,113.29858234446137,4.8276186482374435,6.125805200766224
